old_id,new_id
BLA_QFABRIC_R179,IN_Q231
BLA_QFABRIC_R180,IN_Q232
BLA_QFABRIC_R182,IN_Q233
BLA_QFABRIC_R183,IN_Q234
BLA_QFABRIC_R186,IN_Q235
BLA_QFABRIC_R187,IN_Q236
BLA_QFABRIC_R188,IN_Q237
BLA_QFABRIC_R192,IN_Q238
BLA_QFABRIC_R195,IN_Q239
BLA_QFABRIC_R199,IN_Q240
BLA_QFABRIC_R215,IN_Q241
BLA_QFABRIC_R217,IN_Q242
BLA_QFABRIC_R026,KE_Q200
BLA_QFABRIC_R027,KE_Q201
BLA_QFABRIC_R028,KE_Q202
BLA_QFABRIC_R029,KE_Q203
BLA_QFABRIC_R113,LA_Q200
BLA_QFABRIC_R114,LA_Q201
BLA_QFABRIC_R115,LA_Q202
BLA_QFABRIC_R013,MU_Q200
BLA_QFABRIC_R016,MU_Q201
BLA_QFABRIC_R046,MX_Q200
BLA_QFABRIC_R056,MX_Q201
BLA_QFABRIC_R059,MX_Q202
BLA_QFABRIC_R079,MX_Q203
BLA_QFABRIC_R081,MX_Q204
BLA_QFABRIC_R117,QA_Q200
BLA_QFABRIC_R124,QA_Q201
BLA_QFABRIC_R125,QA_Q202
BLA_QFABRIC_R127,QA_Q203
BLA_QFABRIC_R136,QA_Q204
BLA_QFABRIC_R089,RU_Q200
BLA_QFABRIC_R090,SA_Q200
BLA_QFABRIC_R101,SA_Q201
BLA_QFABRIC_R108,SA_Q202
BLA_QFABRIC_R017,TZ_Q200
BLA_QFABRIC_R018,TZ_Q201
BLA_QFABRIC_R022,TZ_Q202
BLA_QFABRIC_R169,US_Q200
BLA_QFABRIC_R173,US_Q201
BLA_QFABRIC_R174,US_Q202
BLA_QFABRIC_R338,US_Q203
BLA_QFABRIC_R438,US_Q204
BLA_QFABRIC_R440,US_Q205
BLA_QFABRIC_R057,VN_Q200
BLA_QFABRIC_R058,VN_Q201
BLA_QFABRIC_R060,VN_Q202
BLA_QFABRIC_R061,VN_Q203
BLA_QFABRIC_R062,VN_Q204
BLA_QFABRIC_R006,ZA_Q200
BLA_QFABRIC_R010,ZA_Q201
BLA_QFABRIC_R011,ZA_Q202
BLA_QFABRIC_R012,ZA_Q203
BLA_QFABRIC_R023,ZA_Q204
BLA_QFABRIC_R024,ZA_Q205
BLA_QFABRIC_R019,ZR_Q200
BLA_QFABRIC_R020,ZR_Q201
BLA_QFABRIC_R021,ZR_Q202
